time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
1,0.019844352,8192,6.07913,314.32522199999994,-142.20892981927713,83,0,23084,93.24096385542168,,,,,,,,,,
2,0.019688704,16384,-9.798367,325.95163220000006,-167.99360011999997,85,0,19907,96.59,0.01159827,-1.380655464529991,0.0009942656,0.2,10,14983.515625,29019.235546875,-0.00209684441506397,0.00012880563735961914,0.03787841796875
3,0.019533056,24576,86.463572,346.36970260000004,-99.67740323999999,80,1,19097,102.79,0.0067055505,-1.365351602435112,0.0009885312,0.2,20,12812.1181640625,25188.481396484374,-0.0016367749340133741,0.005449473857879639,0.00020751953125
4,0.019377408,32768,122.877438,365.28144040000006,-25.306765419999987,77,1,18735,105.59,0.004292682,-1.338017538189888,0.0009827968,0.2,30,13241.19921875,27103.231494140626,-0.0011455322441179306,0.016735434532165527,0.0002197265625
5,0.01922176,40960,-61.059297,353.063048,-176.03689916000002,79,2,18523,103.14,0.0015601574,-1.3254017144441606,0.0009770624,0.2,40,10559.6435546875,20864.536865234375,-0.0006763172161299736,0.03531539440155029,0.0
6,0.019066112,49152,-63.771885,304.78563180000003,-235.50160133999998,75,2,18371,108.13,0.00050638214,-1.3332040369510652,0.000971328,0.2,50,18262.580078125,35807.8697265625,-0.000301267288159579,0.023413419723510742,0.0
7,0.018910464000000002,57344,141.257517,383.9309138,-59.474538850000016,77,3,18276,105.04,0.0016468588,-1.331787371635437,0.0009655936,0.2,60,14235.1357421875,28669.59833984375,-0.0005779148952569813,0.05347597599029541,0.0
8,0.018754816,65536,11.900931,332.0651444,-88.78234177,79,3,18189,103.43,0.0016384077,-1.334295418858528,0.0009598592,0.2,70,12991.6181640625,26101.489111328126,-0.0006832113955169916,0.06639915704727173,0.0
9,0.018599168,73728,-5.072639,329.3640017,-153.9798763,84,4,18130,101.41,0.001642569,-1.3192195445299149,0.0009541248,0.2,80,12677.34375,26964.403515625,-0.0006978896708460525,0.06607228517532349,0.0
10,0.01844352,81920,29.488174,329.8438615,-90.32771822000001,80,4,18086,99.89,0.0011507518,-1.3053169637918471,0.0009483904,0.2,90,12613.8583984375,25700.8455078125,-0.0005796777579234913,0.12360161542892456,0.0
11,0.018287872,90112,-105.915738,310.042537,-147.38694262,81,4,18055,103.43,0.0010078817,-1.3098978489637374,0.000942656,0.2,100,11253.9375,22460.193505859374,-0.000333560214494355,0.12428593635559082,0.0
12,0.018132224000000002,98304,-44.650513,277.535382,-126.81363894000002,81,5,18029,98.93,0.00077893987,-1.3163789361715317,0.0009369216,0.2,110,10325.8798828125,22606.358642578125,-0.00022254973009694368,0.15369200706481934,0.0
13,0.017976576,106496,-25.804525,350.01515199999994,-146.79590579,83,5,18004,99.04,0.0017514903,-1.3209699183702468,0.0009311872000000001,0.2,120,9864.2236328125,19545.48515625,-0.00047826274239923803,0.1764364242553711,0.0
14,0.017820928,114688,14.4879865,344.93105460000004,-135.5270829,84,6,17970,96.72,0.0020188564,-1.3347284317016601,0.0009254528000000001,0.2,130,12546.2158203125,25861.231396484374,-0.0007239312632009387,0.19579392671585083,0.0
