time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
1,0.019844352,8192,-152.124178,-66.41262720000002,-202.53757096385547,83,0,22873,93.24096385542168,,,,,,,,,,
2,0.019688704,16384,-132.159821,-42.7255198,-183.02486484000002,89,0,19659,93.18,0.0076363133,-1.3822545439004899,0.0009942656,0.2,10,2731.419921875,5852.122583007813,-0.0029722113715251906,0.0010395646095275879,0.02464599609375
3,0.019533056,24576,-100.3770175,-37.001592299999984,-166.12433430999997,90,1,18908,92.64,0.008267717,-1.3710188508033752,0.0009885312,0.2,20,2327.357177734375,4830.298278808594,-0.0027710082504199818,0.014729082584381104,0.010009765625
4,0.019377408,32768,-93.93132,-27.608064999999996,-151.31254715000006,89,1,18519,89.95,0.0022011322,-1.361052441596985,0.0009827968,0.2,30,2444.293701171875,5315.34609375,-0.0008758407697314396,0.03953146934509277,0.00018310546875
5,0.01922176,40960,-95.0850485,-18.772902199999983,-129.3116382,92,2,18301,89.18,0.008317592,-1.340462464094162,0.0009770624,0.2,40,2378.5517578125,4818.070288085937,-0.0032083182100905105,0.08500248193740845,0.04481201171875
6,0.019066112,49152,-82.7969435,9.298548299999997,-114.96777886,98,2,18179,83.98,0.011530011,-1.29074068069458,0.000971328,0.2,50,1415.4102783203125,2946.2819396972654,-0.0048674605204723775,0.131858229637146,0.05860595703125
7,0.018910464000000002,57344,-55.59353,42.57261780000003,-93.23139304000001,104,3,18058,79.0,0.010255685,-1.2293443620204925,0.0009655936,0.2,60,1253.3643798828125,2674.7302307128907,-0.004542696324642747,0.22408390045166016,0.0807861328125
8,0.018754816,65536,-51.528859999999995,71.1095565,-59.878494610000004,106,3,17957,77.51,0.010600377,-1.156398031115532,0.0009598592,0.2,70,1722.903564453125,3427.0020263671877,-0.0038517349516041578,0.2268517017364502,0.0567138671875
9,0.018599168,73728,-50.4906455,88.5685812,-61.60232888,108,4,17893,74.38,0.012929266,-1.068091481924057,0.0009541248,0.2,80,1258.951904296875,2713.0421630859373,-0.002897539472905919,0.29995954036712646,0.0451171875
10,0.01844352,81920,-36.7331895,109.87566100000002,-37.957479680000006,110,4,17837,74.33,0.002498716,-1.0039735943078996,0.0009483904,0.2,90,1162.1728515625,2556.966680908203,-0.0007529704191256315,0.3573046326637268,0.0003173828125
11,0.018287872,90112,-14.329240500000001,181.84382160000004,6.75719007,114,5,17793,72.72,0.0077465666,-0.925049290060997,0.000942656,0.2,100,1391.8829345703125,2626.192694091797,-0.0034108972031390294,0.35751986503601074,0.0330322265625
12,0.018132224000000002,98304,2.7667585,201.2267047,33.62065949,114,5,17747,71.51,0.004975502,-0.803199477493763,0.0009369216,0.2,110,1287.7332763671875,3015.259875488281,-0.0033487745036836713,0.32631123065948486,0.03134765625
13,0.017976576,106496,-0.31891650000000005,190.38310200000004,34.20603379,120,6,17707,69.92,0.0022374499,-0.7815381437540054,0.0009311872000000001,0.2,120,2021.3572998046875,4190.561315917968,-0.001172233631950803,0.2388705015182495,0.0041748046875
14,0.017820928,114688,7.608883499999999,171.239349,38.881844889999996,116,6,17667,70.18,0.0035351536,-0.7252556547522545,0.0009254528000000001,0.2,130,1791.6888427734375,3721.4460510253907,-0.0029104592103976756,0.18841391801834106,0.017041015625
15,0.017665280000000002,122880,16.192168,188.4716078,33.35254409000001,117,6,17640,69.79,0.0017409389,-0.6974270924925804,0.0009197184000000001,0.2,140,1320.8140869140625,2718.3768920898438,-0.0009294813760789111,0.25545334815979004,6.103515625e-05
16,0.017509632,131072,43.802141,209.9042005,80.53444342,116,7,17615,71.3,0.0025563585,-0.6552847728133202,0.0009139840000000001,0.2,150,1146.538818359375,2559.998663330078,-0.0025398618046892805,0.26613372564315796,0.01322021484375
17,0.017353984,139264,39.556731,195.26257900000002,51.304808249999994,119,7,17593,68.18,0.0047182515,-0.6085048660635948,0.0009082496000000001,0.2,160,3056.954345703125,6020.212121582032,-0.002089424739824608,0.1083298921585083,0.02508544921875
18,0.017198336,147456,35.637019,216.674897,69.61108026000001,121,8,17579,67.62,0.0035148775,-0.5318289987742901,0.0009025152000000001,0.2,170,1324.36962890625,2762.337567138672,-0.0019035103672649712,0.20223736763000488,0.02032470703125
19,0.017042688,155648,58.155668,194.1569736,70.66784081,118,8,17568,68.99,0.00095210265,-0.529670175909996,0.0008967808000000001,0.2,180,1845.5010986328125,4087.4589965820314,-0.0003527794498950243,0.13364487886428833,0.00262451171875
20,0.016887040000000002,163840,51.6517615,216.22750150000002,76.45786378000001,120,9,17544,68.56,0.0027925444,-0.49176273941993714,0.0008910464000000001,0.2,190,1386.921630859375,2905.3967468261717,-0.0013455237029120326,0.18086177110671997,0.01246337890625
21,0.016731392,172032,35.891532,197.8555778,55.93640002,123,9,17529,65.95,0.002177797,-0.44386222809553144,0.0008853120000000001,0.2,200,2361.08251953125,4624.503930664063,-0.0013480271969456225,0.10236042737960815,0.00711669921875
22,0.016575744,180224,42.87332,228.95710480000014,68.78930479,122,10,17516,67.49,0.00077055197,-0.4273504137992859,0.0008795776000000001,0.2,210,1279.2784423828125,2593.4034790039063,-0.00040900298918131737,0.17987674474716187,0.0
23,0.016420096,188416,74.585803,287.5877458,101.82881283,115,10,17503,70.76,0.0014623582,-0.45718394219875336,0.0008738432000000001,0.2,220,1277.7657470703125,2658.787567138672,-0.0010509826184716075,0.22771716117858887,0.0181396484375
