time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
1,0.019844352,8192,1.238637,120.7279214,-30.87548146987952,83,0,23370,93.24096385542168,,,,,,,,,,
2,0.019688704,16384,54.596399500000004,104.687551,19.074702950000002,96,0,20275,86.41,0.011715278,-1.3794928193092346,0.0009942656,0.2,10,1872.498779296875,3896.2573059082033,-0.0056998518703039736,0.0006188750267028809,0.0484375
3,0.019533056,24576,62.950515,142.26698860000002,40.69459354,97,1,19420,87.39,0.0018593009,-1.3729117542505265,0.0009885312,0.2,20,1397.3704833984375,3044.04072265625,-0.001525711073190905,0.04326796531677246,2.44140625e-05
4,0.019377408,32768,64.9012305,139.74638570000002,45.983429910000005,94,1,19030,85.48,0.0026079626,-1.3660426408052444,0.0009827968,0.2,30,1253.172119140625,2744.6328735351562,-0.0012806085200281815,0.10544627904891968,0.00018310546875
5,0.01922176,40960,57.704342499999996,107.79363820000002,34.844786250000006,90,2,18792,89.81,0.0019084542,-1.3650574058294296,0.0009770624,0.2,40,1438.7469482421875,2935.2961364746093,-0.0012181949685327708,0.10565519332885742,0.0
6,0.019066112,49152,61.414675,151.14279870000004,54.04875496999999,94,2,18647,88.94,0.0050128605,-1.3611060053110122,0.000971328,0.2,50,1180.6112060546875,2469.244348144531,-0.0024664108350407332,0.12631404399871826,0.01298828125
7,0.018910464000000002,57344,67.81444,135.5654824,59.38776759,99,3,18535,82.73,0.00638119,-1.358877632021904,0.0009655936,0.2,60,1124.63134765625,2460.119189453125,-0.002420796945807524,0.18221831321716309,0.0266357421875
8,0.018754816,65536,69.442727,130.75471940000003,58.27736804999999,95,3,18452,84.45,0.0025458531,-1.3631651014089585,0.0009598592,0.2,70,1148.6019287109375,2396.7268310546874,-0.0010500435892026871,0.18496441841125488,0.00045166015625
9,0.018599168,73728,76.321989,118.83283000000004,55.90888814,92,4,18394,89.57,0.00478299,-1.3625223606824874,0.0009541248,0.2,80,1085.813720703125,2279.777911376953,-0.001722182397497818,0.16522133350372314,0.00025634765625
10,0.01844352,81920,79.936258,149.1536666,64.76941815,89,4,18343,92.75,0.005924114,-1.3648489594459534,0.0009483904,0.2,90,931.4093627929688,1907.586669921875,-0.0018341622198931873,0.20049536228179932,0.00341796875
11,0.018287872,90112,75.774856,157.4928462,58.464668780000004,94,4,18311,87.83,0.008326088,-1.3510376453399657,0.000942656,0.2,100,1161.449462890625,2347.9845275878906,-0.0023115095216780903,0.1704983115196228,0.02012939453125
12,0.018132224000000002,98304,70.1711275,154.079547,63.910141900000006,92,5,18285,89.05,0.008842647,-1.3592392444610595,0.0009369216,0.2,110,1015.209228515625,2049.8088470458983,-0.005034773307852447,0.24044013023376465,0.04732666015625
13,0.017976576,106496,78.2361015,147.356066,74.22467378000002,92,5,18258,90.11,0.0027972339,-1.3577495843172074,0.0009311872000000001,0.2,120,852.05712890625,1788.8163269042968,-0.0022404341667424887,0.2601196765899658,0.0055419921875
14,0.017820928,114688,82.72881699999999,157.29109220000004,82.44247057000001,94,6,18242,87.31,0.006266862,-1.357789534330368,0.0009254528000000001,0.2,130,723.2151489257812,1481.4564361572266,-0.002584756028954871,0.20974189043045044,0.01890869140625
15,0.017665280000000002,122880,80.173766,150.414815,76.57972354999998,87,6,18228,86.2,0.0050969534,-1.3559501856565475,0.0009197184000000001,0.2,140,708.7291870117188,1607.4928253173828,-0.0018338435969781131,0.18307805061340332,0.00234375
16,0.017509632,131072,79.071561,132.42340199999998,79.46430317000001,88,7,18205,97.98,0.0065648793,-1.3471078544855117,0.0009139840000000001,0.2,150,683.8617553710938,1434.4416564941407,-0.0026856440090341493,0.15567290782928467,0.019482421875
17,0.017353984,139264,82.332474,160.2400722,86.85952647,93,7,18190,87.65,0.007869357,-1.3419401735067367,0.0009082496000000001,0.2,160,472.9962158203125,1039.1105895996093,-0.004153460724046454,0.22219198942184448,0.0459716796875
18,0.017198336,147456,82.192783,165.79779739999998,87.05423632,93,8,18180,88.11,0.0074064815,-1.339028799533844,0.0009025152000000001,0.2,170,674.6880493164062,1369.526025390625,-0.003954339271876961,0.10585296154022217,0.06231689453125
19,0.017042688,155648,93.901813,141.96363080000003,94.40035045,95,8,18170,87.74,0.0016145123,-1.3389078378677368,0.0008967808000000001,0.2,180,583.7090454101562,1211.9476165771484,-0.0008437609532848001,0.15991687774658203,1.220703125e-05
20,0.016887040000000002,163840,79.0981715,155.49638499999998,84.28881903,86,9,18166,92.13,0.008352999,-1.3403662353754044,0.0008910464000000001,0.2,190,463.5509338378906,968.3905502319336,-0.0019957736585638486,0.1354326605796814,0.00897216796875
21,0.016731392,172032,104.914545,162.6247056,100.82748326000002,83,9,18159,101.02,0.00780149,-1.3182417541742324,0.0008853120000000001,0.2,200,398.5619812011719,769.8659652709961,-0.002522544196108356,0.0640941858291626,0.02174072265625
22,0.016575744,180224,87.71928,147.79045480000002,93.04809725999999,85,9,18153,94.93,0.004240754,-1.31563381254673,0.0008795776000000001,0.2,210,500.4095764160156,1052.4988677978515,-0.0016973603051155806,0.05794316530227661,0.01309814453125
