time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
1,0.019844352,8192,21.06735,130.36092740000007,-10.022778258823527,85,0,23215,92.82352941176471,,,,,,,,,,
2,0.019688704,16384,72.7986905,141.0537443000001,50.27472599,100,0,20195,81.53,0.011768321,-1.38020701110363,0.0009942656,0.2,10,1724.4161376953125,3513.6522827148438,-0.0050075367151293905,-0.0034477710723876953,0.06748046875
3,0.019533056,24576,54.637363,129.17101840000004,35.17014604,97,1,19329,85.8,0.0016730132,-1.375123780965805,0.0009885312,0.2,20,1660.469482421875,3468.7495971679687,-0.0009889472159557045,0.033074140548706055,0.0
4,0.019377408,32768,62.673868999999996,126.01601450000001,32.522489470000004,96,1,18921,84.76,0.0073348926,-1.3623237609863281,0.0009827968,0.2,30,1305.835205078125,2638.5286499023437,-0.0024997536500450225,0.05885434150695801,0.00950927734375
5,0.01922176,40960,71.14014900000001,142.29864089999998,57.90392842999999,98,2,18698,82.78,0.009287878,-1.3550735324621201,0.0009770624,0.2,40,1326.315673828125,2931.238916015625,-0.00321870650514029,0.0730704665184021,0.021728515625
6,0.019066112,49152,67.36735949999999,156.3789216,65.64423194,100,2,18568,81.6,0.0052313674,-1.3414621204137802,0.000971328,0.2,50,1329.4375,2735.508514404297,-0.0022029446379747243,0.13213789463043213,0.00147705078125
7,0.018910464000000002,57344,75.101409,131.054713,63.03786667,101,3,18474,81.68,0.007827063,-1.3095507860183715,0.0009655936,0.2,60,1376.0828857421875,2720.384600830078,-0.0028307641274295746,0.10027474164962769,0.01759033203125
8,0.018754816,65536,73.772198,150.960678,67.08830569000001,101,3,18408,80.85,0.0033633562,-1.30216483771801,0.0009598592,0.2,70,1113.864990234375,2402.501184082031,-0.0011445722659118474,0.12229430675506592,0.0
9,0.018599168,73728,73.0940565,145.5828257,72.49554627,108,4,18362,75.81,0.0044746934,-1.308761438727379,0.0009541248,0.2,80,1351.158935546875,2802.4087646484377,-0.0027172857138793916,0.08355486392974854,0.01591796875
10,0.01844352,81920,75.75018750000001,151.43658739999998,74.54649942,108,4,18303,74.81,0.005616553,-1.2972711026668549,0.0009483904,0.2,90,1281.23583984375,2495.6831237792967,-0.002165494434302673,0.12238609790802002,0.01322021484375
