time/total_timesteps,rollout/ep_score_p90,rollout/ep_count,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_score_median,train/ent_coef,train/entropy_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/value_loss
8192,368.81385500000005,85,0,167.3716019529412,1,92.82352941176471,21088,127.728547,0.019844352,,,,,,,,,,
16384,497.03337860000033,87,0,245.28518603999999,2,93.31,18836,239.934537,0.019688704,-1.383433711528778,0.00953369140625,0.0068723597,0.0009942656,0.0019314289093017578,0.2,-0.0034996603353647515,10,2582.158203125,5494.668591308594
24576,490.85039440000014,85,1,277.46972710000006,3,97.01,18488,289.513074,0.019533056,-1.3738097339868545,0.0,0.0018638424,0.0009885312,0.003127753734588623,0.2,-0.001677313752588816,20,6486.25146484375,12960.07099609375
32768,532.0229498000001,89,1,300.61028962,4,92.28,18433,274.432268,0.019377408,-1.366718876361847,0.0,0.0010018541,0.0009827968,0.004800021648406982,0.2,-0.0008853265637299046,30,5869.482421875,12009.160400390625
40960,585.4402956999999,88,2,313.59797228,5,94.05,18302,275.2798955,0.01922176,-1.3536796241998672,0.0,0.0016132459,0.0009770624,0.0032222867012023926,0.2,-0.0013240137152024545,40,7094.025390625,15213.336645507812
49152,635.725803,91,2,362.79785085000003,6,89.32,18140,373.404022,0.019066112,-1.3383209466934205,0.0,0.001235259,0.000971328,0.0015567541122436523,0.2,-0.0010711840150179341,50,8813.8828125,18165.002392578124
57344,732.6987782,90,3,411.83450371999993,7,91.75,18019,402.82610850000003,0.018910464000000002,-1.3142426550388335,0.0,0.0015484133,0.0009655936,0.0013412833213806152,0.2,-0.001220690630725585,60,11254.7470703125,23237.06103515625
65536,741.3704205999999,93,3,418.74135076,8,89.26,17926,362.9147,0.018754816,-1.2875692635774612,1.220703125e-05,0.002456422,0.0009598592,0.001759350299835205,0.2,-0.0017207328230142594,70,15761.265625,31397.862451171874
73728,947.9922352000002,97,4,479.11318563000003,9,86.01,17866,397.165045,0.018599168,-1.2606240689754487,0.0,0.0007639965,0.0009541248,0.000980079174041748,0.2,-0.0007134556653909385,80,14855.978515625,30028.577392578125
81920,810.8031714,92,4,460.45984079999994,10,85.84,17820,395.566527,0.01844352,-1.225673681497574,0.0,0.0011054641,0.0009483904,0.00042748451232910156,0.2,-0.0012244681012816728,90,23661.548828125,47716.38154296875
90112,941.3494962000001,94,5,496.57040157999995,11,87.16,17783,386.61395300000004,0.018287872,-1.2206341952085495,0.0,0.00056741707,0.000942656,0.0010829567909240723,0.2,-0.0006919435429153964,100,19106.134765625,40661.34091796875
98304,853.923237,96,5,482.65944423,12,84.71,17757,425.8862735,0.018132224000000002,-1.2140233665704727,0.0,0.0004971179,0.0009369216,0.00026297569274902344,0.2,-0.0004636009980458766,110,31961.69921875,59711.00263671875
106496,963.6129142000001,95,6,489.0706594999999,13,86.11,17732,443.092046,0.017976576,-1.2102636218070983,0.0,0.00017998231,0.0009311872000000001,0.0006906986236572266,0.2,-0.0003716120991157368,120,22058.658203125,45545.2458984375
114688,919.62342,96,6,490.80451339,14,86.05,17707,422.458204,0.017820928,-1.2009658575057984,0.0,0.00019697752,0.0009254528000000001,0.0002936720848083496,0.2,-0.0003429140109801665,130,26114.19140625,50952.4966796875
122880,1003.3408335,98,6,532.23126006,15,83.89,17697,411.0725115,0.017665280000000002,-1.1863492518663405,0.0,0.0010475435,0.0009197184000000001,0.00018805265426635742,0.2,-0.0009298435441451147,140,24737.298828125,48989.16484375
131072,1098.3574666,99,7,579.0929093,16,82.88,17683,512.115428,0.017509632,-1.1566483974456787,0.0,0.0005037455,0.0009139840000000001,0.0005348920822143555,0.2,-0.0004238426074152812,150,29482.578125,59876.26337890625
139264,1043.4956896,99,7,567.71947445,17,82.85,17667,512.347838,0.017353984,-1.1287934213876725,0.0,0.00024961212,0.0009082496000000001,0.0001531839370727539,0.2,-0.0003933535946998745,160,34282.73046875,67147.30966796874
147456,1013.3156200000002,97,8,569.5487815800001,18,83.91,17662,474.513954,0.017198336,-1.1166640937328338,0.0,0.00014841341,0.0009025152000000001,9.72747802734375e-05,0.2,-0.0002739212184678763,170,34022.15234375,68140.64013671875
