time/total_timesteps,rollout/ep_score_p90,rollout/ep_count,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_score_median,train/ent_coef,train/entropy_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/value_loss
8192,447.9809158,83,0,207.67692861445784,1,93.24096385542168,23219,163.930655,0.019844352,,,,,,,,,,
16384,392.4761468,92,0,210.15754300000003,2,89.75,19766,216.5295265,0.019688704,-1.3817159414291382,0.01043701171875,0.010259333,0.0009942656,-0.0001289844512939453,0.2,-0.003939870727481321,10,3947.038818359375,8756.692846679687
24576,589.9665194,80,1,319.80584475,3,99.6,19006,328.7572075,0.019533056,-1.3673544138669969,0.0021484375,0.004566953,0.0009885312,0.007265686988830566,0.2,-0.0026072487933561208,20,4643.9267578125,9019.021826171875
32768,662.5981702,89,1,368.83389814,4,95.52,18888,350.543531,0.019377408,-1.3429853051900864,0.0,0.003330153,0.0009827968,0.008192777633666992,0.2,-0.0019021286047063769,30,8456.888671875,17766.980908203124
40960,759.289436,86,2,442.9390175600001,5,93.53,18581,438.959075,0.01922176,-1.3235424011945724,0.0,0.0020112677,0.0009770624,0.005966782569885254,0.2,-0.001457616308471188,40,11066.9873046875,23211.598876953125
49152,822.280129,91,2,487.14425606000003,6,89.54,18385,502.193061,0.019066112,-1.2985580086708068,0.0,0.0028591491,0.000971328,0.0024551749229431152,0.2,-0.001904081043903716,50,17324.490234375,34335.43671875
57344,868.0991543,94,3,486.70434336,7,87.74,18246,413.05042749999996,0.018910464000000002,-1.271368846297264,0.0,0.0024114926,0.0009655936,0.001439809799194336,0.2,-0.0014988185721449554,60,20196.634765625,42645.7515625
65536,974.025982,96,3,557.13184617,8,84.63,18126,509.921841,0.018754816,-1.2492982387542724,0.0,0.005163966,0.0009598592,0.0011824965476989746,0.2,-0.002833143435418606,70,22614.392578125,45084.77490234375
73728,995.1154884,97,4,548.07070903,9,84.44,18038,501.054395,0.018599168,-1.1912117809057237,0.0,0.0022360438,0.0009541248,0.0007482767105102539,0.2,-0.0012698612757958473,80,28805.583984375,56644.084375
81920,954.5532792,102,4,514.7379379600001,10,79.57,17959,424.968417,0.01844352,-1.1756725072860719,0.0,0.0020876604,0.0009483904,0.0007125139236450195,0.2,-0.0014912903658114373,90,29761.166015625,60575.37978515625
90112,1177.7776299000002,102,5,678.8644150299999,11,80.69,17897,662.1710290000001,0.018287872,-1.1316586792469026,0.0,0.0025947215,0.000942656,0.0009587407112121582,0.2,-0.0016648668621201067,100,26842.708984375,56387.046484375
98304,1136.1873516,103,5,656.0603183,12,80.13,17856,575.398926,0.018132224000000002,-1.0491271525621415,0.0,0.0012684898,0.0009369216,0.00021976232528686523,0.2,-0.0010179697535932064,110,44653.14453125,90612.52265625
106496,1111.6173999,108,5,615.43934701,13,75.87,17811,531.9506045,0.017976576,-1.0239773973822595,0.0,0.0017033659,0.0009311872000000001,0.00013762712478637695,0.2,-0.0013510090037016198,120,40021.67578125,83579.8009765625
