rollout_id,env_id,ep_rew_total,ep_len,timestep_global,terminal_status,x_pos,y_pos,x_vel,y_vel,angle,angular_vel,leg1_contact,leg2_contact,reward_spin_speed,reward_spin_angle,reward_spin_accel,reward_spin_direction_flip,reward_action_spin_bonus,reward_legs_interrupt_penalty,reward_survival,reward_vertical_tolerance
0,0,17.185276,55,440,landed_off_centered,0.32011986,-0.03411551,0.2832597,0.009061828,0.048273087,-1.4599908e-07,1.0,1.0,20.57774874805574,13.946559954434633,0.2217363723902963,0.0,5.0,-8.0,4.400000000000002,-18.960768799530342
0,3,60.891645,88,704,crashed,-0.11650343,-0.030861415,-0.053314555,-0.8434315,0.14789483,-5.1340213,1.0,0.0,40.71841566031799,19.99921197257936,0.24439105325291166,8.0,8.0,-4.0,7.0400000000000045,-19.110373429066385
0,7,328.958303,98,784,crashed,-0.10256033,0.0058867787,0.53965473,0.15335265,-1.9907694,-1.7620262,1.0,0.0,131.77177657652646,203.00564136402681,1.3256662331987172,0.0,10.0,-6.0,7.840000000000005,-18.984781231731176
0,2,207.718207,105,840,crashed,-0.32650432,0.07674831,0.053283423,-0.011345303,0.60477,-0.15503526,0.0,1.0,51.95484474860132,151.39589781686664,0.49524650591774844,0.0,19.5,-6.0,8.400000000000006,-18.02778234751895
0,4,405.122367,108,864,crashed,-0.3767104,0.14798398,-0.9228719,-0.2205576,1.6961551,-3.1757133,0.0,1.0,134.04712197510526,249.6552665317431,1.2759529110444419,8.0,24.0,-2.0,8.640000000000006,-18.495974073186517
0,6,171.735506,110,880,out_of_bounds,-1.0065384,0.89238065,-1.3825971,-0.71333534,0.52134234,0.02346723,0.0,0.0,36.14222254429478,107.48655499517918,0.3451268768812952,0.0,29.5,0.0,8.800000000000006,-10.538397918528062
0,1,297.019299,112,896,crashed,-0.010225868,-0.008983317,0.52541673,0.003457868,-1.7355982,1.3218166e-06,1.0,0.0,105.1162314880321,199.52407697588205,1.1578877185384044,0.0,9.5,-6.0,8.960000000000006,-21.238896779512288
0,0,109.794625,85,1120,landed_off_centered,0.71647435,-0.076767,0.30093127,-0.1326739,0.34109744,-1.0176841,1.0,1.0,52.34189845062792,61.63942684978247,0.5963571760803461,8.0,8.0,-8.0,6.800000000000004,-19.58305775001645
0,5,413.239326,142,1136,crashed,0.65140456,0.022322927,1.07232,0.23319674,-1.5983156,-0.8874135,1.0,0.0,93.61769125796854,324.0938600981608,1.0227791892248206,0.0,17.0,-8.0,11.360000000000008,-25.855004942015512
0,7,145.577507,67,1320,crashed,0.120825864,-0.022143414,-0.3052458,-0.19152506,-0.2675096,1.4797709,1.0,0.0,84.4585810340941,79.92676528543234,0.8651555923279375,0.0,-4.0,-2.0,5.360000000000003,-19.032994966953993
0,3,231.374312,92,1440,crashed,0.7356968,-0.018547466,1.6353757,-0.8111721,-0.9100578,2.6341803,1.0,0.0,82.48935191705823,155.77811079844832,0.7887561951356474,0.0,14.5,-10.0,7.360000000000005,-19.541906755126547
0,2,23.812997,82,1496,landed_centered,-0.0064029694,-0.042739347,1.5015245e-14,-4.356862e-14,0.00023969355,1.9915929e-12,1.0,1.0,13.08101446694427,17.16281377658015,0.14312151103513315,0.0,14.0,-8.0,6.560000000000004,-19.13395239040257
0,1,126.044944,105,1736,crashed,0.04019928,-0.02673718,0.1488278,-0.6798752,-0.19343422,5.0890465,1.0,0.0,43.893251243804116,98.90446898457594,0.3553383540438517,0.0,0.0,-6.0,8.400000000000006,-19.508114303229377
0,6,108.800884,107,1736,crashed,-0.4038824,-0.11927074,-0.9155224,-0.7550693,-0.08081108,4.550871,1.0,0.0,56.36525737401098,54.03433893062174,0.42797632873407565,0.0,17.5,-6.0,8.560000000000006,-22.086688415845856
0,0,53.567008,82,1776,landed_off_centered,0.22388001,-0.027528074,0.1509939,-0.6171957,-0.082232796,4.132044,1.0,1.0,39.620520387543365,18.605271936394274,0.31189215612539556,0.0,15.5,-8.0,6.560000000000004,-19.030676435679197
0,4,80.88334,117,1800,crashed,-0.4835287,-0.1341226,-0.75070524,-0.76653343,-0.012028315,4.733176,1.0,0.0,44.78067938936874,33.41994145093486,0.34541373774118256,0.0,22.5,-6.0,9.360000000000007,-23.522694882703945
0,5,330.090511,93,1880,out_of_bounds,-1.0132647,0.7408343,-1.6296768,-1.2659886,1.3122118,0.27594763,0.0,0.0,86.94087338447571,248.02868086844683,0.8302041846327484,0.0,0.0,0.0,7.440000000000005,-13.14924729289487
0,3,117.057532,66,1968,crashed,0.38175136,-0.055173244,0.86440456,-0.72968674,-0.5161144,4.4001837,1.0,0.0,59.007943557575345,52.61637456808239,0.4930887693990371,8.0,15.0,-4.0,5.280000000000003,-19.339874789118767
0,2,54.705542,97,2272,landed_off_centered,-0.36598772,-0.1451324,-0.7647239,-0.9639048,0.3085327,4.54362,1.0,1.0,31.216027922462672,30.671890195459127,0.25762648421004997,0.0,15.5,-10.0,7.760000000000005,-20.70000229589641
