rollout_id,env_id,ep_rew_total,ep_len,timestep_global,terminal_status,x_pos,y_pos,x_vel,y_vel,angle,angular_vel,leg1_contact,leg2_contact,reward_shaping_delta,reward_main_engine_penalty,reward_side_engine_penalty
6,7,173.312015,75,56832,landed_centered,0.16391687,-0.042760625,0.019809749,1.4671265e-06,0.00018697549,8.270405e-06,1.0,1.0,179.6420135498047,-5.099999999999999,-1.2300000000000009
6,4,99.076384,55,56992,crashed,0.0126719475,-0.01274971,0.10643351,-0.5926615,0.41612568,-5.2348413,0.0,1.0,102.1663818359375,-2.1,-0.9900000000000007
6,0,62.52296,92,57160,crashed,0.051884938,-0.009695819,0.048098564,-0.33341488,0.4664826,-3.8016326,0.0,0.0,71.61296081542969,-7.799999999999997,-1.290000000000001
6,3,81.18229,73,57320,crashed,-0.23309155,-0.04280526,-0.49020773,-0.5690418,0.03541152,5.2749224,1.0,0.0,87.00228881835938,-4.499999999999999,-1.320000000000001
6,2,104.952657,73,57328,crashed,0.15647916,-0.031917598,0.25907308,-0.59006774,0.1224857,-4.123517,0.0,1.0,113.47265625,-7.499999999999997,-1.0200000000000007
6,6,93.076033,98,57344,crashed,0.08460216,-0.008192851,0.2819724,-0.2599832,-0.4830002,3.6912632,1.0,0.0,99.37603759765625,-4.499999999999999,-1.8000000000000014
7,7,82.633377,71,57400,crashed,0.28868055,0.008915314,0.027791947,-0.78575486,0.047899567,5.283753,1.0,0.0,88.27337646484375,-4.499999999999999,-1.1400000000000008
7,1,-104.448232,93,57456,crashed,0.4418521,0.089654595,-0.83780956,-0.09091334,2.0606258,0.6636126,0.0,1.0,-98.65823364257812,-4.199999999999999,-1.5900000000000012
7,4,67.32486,67,57528,crashed,-0.17799005,-0.0131189255,-0.31637627,-0.64775026,-0.40600646,6.2010303,1.0,0.0,72.99485778808594,-4.499999999999999,-1.1700000000000008
7,5,-80.13074,108,57568,crashed,-0.34747824,0.015017734,0.8097477,-0.14851938,-1.8847253,0.8470087,0.0,0.0,-71.0107421875,-7.499999999999997,-1.6200000000000012
7,3,104.746053,64,57832,crashed,0.21007633,-0.0017391348,-0.23002407,-0.52529186,-0.06885333,4.432722,1.0,0.0,110.23605346679688,-4.499999999999999,-0.9900000000000007
7,2,41.449875,77,57944,crashed,0.62931347,-0.020711936,0.31433883,-0.5599395,0.55638486,-4.469361,0.0,1.0,48.97987365722656,-6.299999999999998,-1.2300000000000009
7,6,97.207514,77,57960,landed_centered,0.13536167,-0.0364265,0.14492138,-0.7075576,0.053546216,-4.952448,1.0,1.0,103.71751403808594,-5.399999999999999,-1.1100000000000008
7,7,4.507326,81,58048,crashed,-0.3861474,-0.09784998,-0.8425085,-0.32414904,-0.7510019,-1.9982412,1.0,0.0,9.75732421875,-3.899999999999999,-1.350000000000001
7,1,53.617278,78,58080,crashed,-0.3469519,0.06739348,0.14601478,-0.7558332,-0.48868728,4.620524,1.0,1.0,59.707275390625,-4.799999999999999,-1.290000000000001
7,5,152.333651,70,58128,landed_centered,0.07313681,-0.04307827,0.22282985,-0.18924652,-0.0035887235,-1.004239,1.0,1.0,158.5736541748047,-5.099999999999999,-1.1400000000000008
7,4,-40.753284,82,58184,crashed,-0.367301,0.07409607,0.4840253,-0.29445732,-1.4503857,-4.5730696,1.0,0.0,-34.9932861328125,-4.499999999999999,-1.260000000000001
7,0,56.980092,137,58256,crashed,-0.33271915,-0.08633901,-0.7712743,-0.5430872,0.046899635,2.5841622,0.0,0.0,68.56008911132812,-9.3,-2.28
7,3,171.699259,81,58480,landed_centered,0.03959761,-0.04275594,0.018417124,2.8819228e-08,-0.0010269862,3.2259783e-07,1.0,1.0,179.55925750732422,-6.599999999999998,-1.260000000000001
7,6,78.732885,71,58528,crashed,-0.3542189,0.07381412,0.5654535,-0.16579305,-0.44851995,-0.0698375,1.0,1.0,83.53288269042969,-3.2999999999999994,-1.500000000000001
7,2,69.442727,90,58664,crashed,0.122444436,-0.01818576,0.18748955,-0.50407046,0.31401554,-4.6963425,0.0,1.0,76.37272644042969,-5.699999999999998,-1.2300000000000009
7,7,131.619267,78,58672,landed_off_centered,0.5728699,-0.1403508,0.23631804,0.058731627,-0.09408452,0.03201031,1.0,1.0,137.1692657470703,-4.199999999999999,-1.350000000000001
7,1,65.774476,77,58696,landed_off_centered,0.4575081,0.12206963,0.27216673,-0.7116562,0.21155155,5.00042,1.0,1.0,71.80447387695312,-4.799999999999999,-1.2300000000000009
7,5,83.046774,89,58840,crashed,-0.15932569,-0.0147334365,-0.09754359,-0.46044144,-0.37495846,4.5033145,1.0,0.0,88.86677551269531,-4.199999999999999,-1.6200000000000012
7,3,54.869075,77,59096,landed_off_centered,-0.58496344,0.0887935,-0.45315284,-0.65226465,-0.3179426,-4.3305235,1.0,1.0,62.90907287597656,-6.899999999999998,-1.1400000000000008
7,4,106.202636,116,59112,landed_off_centered,-0.2123898,-0.02170997,0.070885934,-0.5578257,-0.2592178,4.81948,1.0,1.0,116.01263427734375,-8.099999999999998,-1.7100000000000013
7,0,39.747665,115,59176,crashed,-0.36123413,0.057480108,0.19441475,-0.8284756,-0.57417023,5.694837,1.0,0.0,47.30766296386719,-5.699999999999998,-1.8600000000000014
7,6,42.480671,95,59288,crashed,0.21510677,-0.021063806,0.29358405,-0.6853232,0.28324535,-4.995436,0.0,1.0,50.61067199707031,-6.599999999999998,-1.5300000000000011
7,1,44.352671,77,59312,landed_off_centered,-0.29480284,-0.06956652,-0.79226094,-0.7126545,0.15469144,4.245862,1.0,1.0,51.28266906738281,-5.699999999999998,-1.2300000000000009
7,7,59.39013,86,59360,crashed,0.23403034,-0.023816682,0.24899891,-0.5866487,0.22790737,-4.869125,0.0,1.0,65.48013305664062,-4.799999999999999,-1.290000000000001
7,2,57.941956,93,59408,crashed,0.26736507,0.047898684,-0.4256351,-0.7033202,0.054971214,4.7227216,1.0,0.0,65.6519546508789,-6.299999999999998,-1.410000000000001
7,5,186.835878,71,59408,landed_centered,0.04186821,-0.042761732,-4.804477e-11,-2.664312e-10,-4.9455688e-05,3.998607e-11,1.0,1.0,192.08587646484375,-4.199999999999999,-1.0500000000000007
7,4,59.919769,59,59584,crashed,0.27725458,0.028519688,-0.068770856,-1.0099276,0.41902217,5.1150475,1.0,1.0,64.80976867675781,-3.899999999999999,-0.9900000000000007
7,0,46.284456,61,59664,crashed,-0.27845293,-0.03018743,-1.0210212,-0.36366338,-0.3173013,3.2488835,1.0,0.0,51.14445495605469,-3.899999999999999,-0.9600000000000006
7,3,77.598576,81,59744,crashed,0.039997958,-0.0015201592,0.0045830207,-0.112040825,-0.6484083,2.1891575,1.0,0.0,84.22857666015625,-5.399999999999999,-1.2300000000000009
7,1,96.708302,66,59840,landed_centered,-0.007885074,-0.033006076,-0.013568391,-0.7277234,0.09158165,-5.4773235,1.0,1.0,100.03829956054688,-2.1,-1.2300000000000009
7,6,82.882059,73,59872,crashed,0.26509887,-0.05880145,0.6342283,-0.072620176,-0.16984709,2.3527024e-08,1.0,0.0,87.56205749511719,-3.599999999999999,-1.0800000000000007
7,2,86.384573,67,59944,crashed,0.16319188,-0.011888507,0.31106943,-0.35904852,0.4154857,-4.2182617,0.0,1.0,90.76457214355469,-3.2999999999999994,-1.0800000000000007
7,7,-83.930706,99,60152,crashed,-0.50017625,0.022668324,-0.96865845,-0.5826845,-1.6034207,3.919175,1.0,0.0,-77.96070861816406,-4.199999999999999,-1.7700000000000014
7,5,68.647885,106,60256,crashed,-0.13811235,-0.022174276,-0.21850073,-0.7195372,-0.26291513,5.585046,1.0,0.0,76.4778823852539,-5.999999999999998,-1.8300000000000014
7,0,46.309816,81,60312,crashed,-0.3693201,-0.0529184,-0.74847966,-0.43502435,-0.29146174,3.9194016,1.0,0.0,51.469818115234375,-3.599999999999999,-1.5600000000000012
7,4,40.508402,97,60360,crashed,-0.4843417,-0.022370579,-0.57620686,-0.40627262,-0.3146338,3.7960658,0.0,0.0,49.65840148925781,-7.799999999999997,-1.350000000000001
7,3,59.578213,79,60376,crashed,-0.34399253,0.009595738,-0.38213697,-0.14044087,-0.6570302,2.742895,1.0,0.0,64.22821044921875,-3.2999999999999994,-1.350000000000001
