time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
1,0.019844352,8192,277.760067,439.6578462000001,296.32289499999996,85,0,23160,93.54117647058824,,,,,,,,,,
2,0.019688704,16384,304.2274665,460.28868800000004,312.20303992000004,84,0,20119,95.27,0.0054930407,-1.3839750558137893,0.0009942656,0.2,10,4424.50048828125,9166.513354492188,-0.0023978275625268,0.010539889335632324,0.00308837890625
3,0.019533056,24576,273.260144,459.11930500000005,300.29937285999995,87,1,19300,92.86,0.00043555046,-1.3789648741483689,0.0009885312,0.2,20,4654.26513671875,9895.026123046875,-0.0004199110437184572,0.0298193097114563,0.0
4,0.019377408,32768,361.967493,485.57930680000004,336.17257630999995,87,1,18921,96.32,0.0011782708,-1.3746959507465362,0.0009827968,0.2,30,4389.22900390625,8976.913720703125,-0.000927023941767402,0.022984683513641357,0.0
5,0.01922176,40960,329.3400185,535.8914915,335.54063448,82,2,18735,96.21,0.0028207519,-1.3636094361543656,0.0009770624,0.2,40,5544.0654296875,11183.607348632813,-0.0015650625064154156,0.013547003269195557,0.00010986328125
6,0.019066112,49152,371.862266,561.0602941,353.3505021699999,82,2,18611,98.36,0.0023616035,-1.3483272671699524,0.000971328,0.2,50,5638.18212890625,11428.648657226562,-0.0012148365145549177,0.00842982530593872,0.0
7,0.018910464000000002,57344,375.9340035,555.5811159,378.28051345000006,78,3,18509,105.03,0.00065893977,-1.3355308383703233,0.0009655936,0.2,60,6214.2119140625,12480.384155273438,-0.00042880162654910234,0.005189299583435059,0.0
8,0.018754816,65536,356.16,611.268329,370.33670013000005,81,3,18435,98.5,0.0008126904,-1.3365345001220703,0.0009598592,0.2,70,5599.677734375,11357.263720703126,-0.0005786820547655225,0.006532192230224609,0.0
9,0.018599168,73728,364.324702,584.7321460999999,395.00144921,78,4,18382,104.46,0.00046535686,-1.3272107005119325,0.0009541248,0.2,80,6949.546875,13773.38779296875,-0.00035869365092366934,0.004632532596588135,0.0
10,0.01844352,81920,323.735449,568.9599522000001,384.41955379000007,85,4,18327,98.93,0.0008549197,-1.3187056124210357,0.0009483904,0.2,90,6770.8994140625,13747.46435546875,-0.0007674004649743438,0.0036330223083496094,0.0
