time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
1,0.019844352,8192,32.866342,98.85703959999998,24.574439433734938,83,0,22916,93.24096385542168,,,,,,,,,,
2,0.019688704,16384,37.870925,100.90284420000002,27.03767703,87,0,20444,94.09,0.0032336875,-1.3848118633031845,0.0009942656,0.2,10,1332.0262451171875,2710.144812011719,-0.0012754995870636777,0.0017020702362060547,0.00447998046875
3,0.019533056,24576,40.557972,113.58137800000002,39.43840614,87,1,19537,94.79,0.005086393,-1.3804627507925034,0.0009885312,0.2,20,1298.4886474609375,2667.4715576171875,-0.0028821232874179257,0.03825610876083374,0.009814453125
4,0.019377408,32768,39.5121105,90.21117600000001,26.38117591999999,92,1,19037,90.7,0.0046035163,-1.3713312238454818,0.0009827968,0.2,30,1190.3408203125,2582.3275451660156,-0.0016417192964581773,0.10988026857376099,0.00167236328125
5,0.01922176,40960,37.016149,95.504881,30.5509088,91,2,18712,90.09,0.0011070543,-1.3618684232234954,0.0009770624,0.2,40,978.83984375,2104.1209564208984,-0.0005328123865183443,0.1626061201095581,0.0
6,0.019066112,49152,46.765172,115.82999200000003,39.97512271,87,2,18538,95.28,0.004821973,-1.3692254036664964,0.000971328,0.2,50,995.8407592773438,2116.7385314941407,-0.0015067899250425399,0.259563684463501,0.0003173828125
7,0.018910464000000002,57344,51.505016,102.2598865,48.96318485,86,3,18389,94.71,0.0024342504,-1.3698929488658904,0.0009655936,0.2,60,1101.673095703125,2361.8626403808594,-0.0009973785257898272,0.3245236873626709,0.0
8,0.018754816,65536,60.816569,122.2305635,54.651041379999995,86,3,18282,94.6,0.0015607688,-1.3612720757722854,0.0009598592,0.2,70,1130.4722900390625,2368.7203002929687,-0.0011991431907517835,0.33547866344451904,0.0
9,0.018599168,73728,69.914916,144.69621000000004,64.08271375999999,85,4,18199,95.52,0.0030433557,-1.349342629313469,0.0009541248,0.2,80,1209.0068359375,2513.407189941406,-0.00153635143651627,0.31426024436950684,0.00018310546875
10,0.01844352,81920,78.48836299999999,133.08145050000002,68.51759638,86,4,18130,95.46,0.0033312663,-1.3348999947309494,0.0009483904,0.2,90,1348.4718017578125,2775.709588623047,-0.001400092223775573,0.3143005967140198,0.0
11,0.018287872,90112,88.71903,137.06390140000002,74.17839641999998,87,4,18067,97.29,0.0037958513,-1.314227080345154,0.000942656,0.2,100,1348.743408203125,2828.377001953125,-0.001722271657490637,0.3279350996017456,0.00052490234375
12,0.018132224000000002,98304,84.5584085,149.82273220000005,86.97728011999999,80,5,18025,98.42,0.0038827944,-1.3107963889837264,0.0009369216,0.2,110,1405.99755859375,2900.5649658203124,-0.0013136800116626546,0.30030620098114014,0.0
13,0.017976576,106496,98.7760955,151.0345785,97.18988901000003,76,5,17989,101.88,0.00037697068,-1.3116355329751967,0.0009311872000000001,0.2,120,1703.1173095703125,3462.296417236328,-0.0002920979168266058,0.24912333488464355,0.0
14,0.017820928,114688,99.5307025,177.77106630000003,81.30212194,68,6,17974,115.79,0.0021296856,-1.3089264929294586,0.0009254528000000001,0.2,130,1970.47265625,4043.446319580078,-0.0020970320387277753,0.14362192153930664,0.00220947265625
15,0.017665280000000002,122880,109.962172,192.00334460000008,107.00740809999999,75,6,17944,111.79,0.0025364724,-1.29361372590065,0.0009197184000000001,0.2,140,1640.7969970703125,3519.5647827148437,-0.0012115882855141535,0.1445065140724182,0.000146484375
16,0.017509632,131072,110.978316,195.08605559999995,110.20730405,73,7,17925,107.84,0.0033920435,-1.2568631798028946,0.0009139840000000001,0.2,150,1806.9549560546875,3654.0385498046876,-0.0015065201267134398,0.20328748226165771,0.0001220703125
