time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
1,0.019844352,8192,281.011309,446.6533154,301.43625659036144,83,0,23329,93.24096385542168,,,,,,,,,,
2,0.019688704,16384,315.624257,524.3593787,321.13915511,84,0,20016,97.73,0.004684078,-1.384069761633873,0.0009942656,0.2,10,4538.81689453125,9731.781323242187,-0.0018548884603660555,-0.0018868446350097656,0.00628662109375
3,0.019533056,24576,297.35841600000003,455.64380630000005,317.2936817,84,1,19222,98.23,0.000693468,-1.380198884010315,0.0009885312,0.2,20,5330.33837890625,10484.688256835938,-0.0005195829711738042,0.019094765186309814,0.0
4,0.019377408,32768,317.8420805,504.6472776,317.80099312,84,1,18864,97.46,0.00025968163,-1.3770195454359055,0.0009827968,0.2,30,4589.509765625,9214.218798828126,-0.00036892812931910157,0.01714092493057251,0.0
5,0.01922176,40960,325.30431350000003,565.0638352000001,338.38591073,80,2,18651,100.36,0.0009477751,-1.374490311741829,0.0009770624,0.2,40,5020.95263671875,10382.29130859375,-0.000849177164491266,0.009689807891845703,0.0
6,0.019066112,49152,319.629847,510.37257760000006,314.63548841000005,85,2,18490,95.3,0.00072110305,-1.3664494425058364,0.000971328,0.2,50,5266.35791015625,10777.908325195312,-0.0008164020866388455,0.007718324661254883,0.0
7,0.018910464000000002,57344,303.169492,511.1732334000001,322.90827401999996,85,3,18394,94.8,0.00033946242,-1.3619928777217865,0.0009655936,0.2,60,4900.509765625,10003.036108398437,-0.00043316405790392307,0.004872739315032959,0.0
8,0.018754816,65536,317.360324,505.9327105,344.5988532399999,88,3,18300,96.57,0.002511703,-1.3559014648199081,0.0009598592,0.2,70,5235.09423828125,10476.728466796874,-0.0015956893272232263,0.004648268222808838,0.0
9,0.018599168,73728,373.9891325,572.9016895999999,376.58218310999996,78,4,18255,100.22,0.00068500295,-1.341934797167778,0.0009541248,0.2,80,5376.93017578125,11183.63779296875,-0.0005841890379088,0.002575695514678955,0.0
10,0.01844352,81920,421.8964095,652.5578568,407.50256525000003,78,4,18210,104.03,0.001771488,-1.3239286214113235,0.0009483904,0.2,90,7063.65576171875,13892.216015625,-0.00126839496078901,0.0012395381927490234,0.0
