rollout_id,env_id,ep_rew_total,ep_len,timestep_global,terminal_status,x_pos,y_pos,x_vel,y_vel,angle,angular_vel,leg1_contact,leg2_contact,reward_y_oscillation,reward_pad_level_bonus,reward_vy_sign_flip,reward_bounce_speed,reward_main_engine_bonus,reward_anti_hover_penalty,reward_legs_penalty,reward_survival,reward_upright_bonus
0,0,48.880227,55,440,landed_off_centered,0.32011986,-0.03411551,0.2832597,0.009061828,0.048273087,-1.4599908e-07,1.0,1.0,36.0,21.76289108126977,0.0,39.56065610051155,-30.200000000000024,-6.0,-16.0,5.4999999999999964,-1.7433199943043292
0,3,46.172058,88,704,crashed,-0.11650343,-0.030861415,-0.053314555,-0.8434315,0.14789483,-5.1340213,1.0,0.0,17.0,23.487998285375568,0.0,38.683961391448975,-31.300000000000036,0.0,-8.0,8.799999999999985,-2.49990149657242
0,7,22.842974,98,784,crashed,-0.10256033,0.0058867787,0.53965473,0.15335265,-1.9907694,-1.7620262,1.0,0.0,7.0,23.795352386718008,0.0,37.323327124118805,-11.700000000000001,-6.0,-12.0,9.799999999999981,-25.375705170503352
0,2,-41.686865,105,840,crashed,-0.32650432,0.07674831,0.053283423,-0.011345303,0.60477,-0.15503526,0.0,1.0,-28.0,14.468555077410999,0.0,27.069067310541868,-28.800000000000022,-6.0,-12.0,10.499999999999979,-18.92448722710833
0,4,-56.790614,108,864,crashed,-0.3767104,0.14798398,-0.9228719,-0.2205576,1.6961551,-3.1757133,0.0,1.0,-45.0,8.619669798137537,0.0,23.69662457704544,-19.700000000000028,0.0,-4.0,10.799999999999978,-31.20690831646789
0,6,-117.635819,110,880,out_of_bounds,-1.0065384,0.89238065,-1.3825971,-0.71333534,0.52134234,0.02346723,0.0,0.0,-110.0,8.110760767431837e-07,0.0,0.0,-5.200000000000013,0.0,0.0,10.999999999999977,-13.435819374397397
0,1,-9.910754,112,896,crashed,-0.010225868,-0.008983317,0.52541673,0.003457868,-1.7355982,1.3218166e-06,1.0,0.0,-14.0,22.077604812848698,0.0,36.65215032082051,-22.90000000000004,-6.0,-12.0,11.199999999999976,-24.940509621985257
0,0,84.109932,85,1120,landed_off_centered,0.71647435,-0.076767,0.30093127,-0.1326739,0.34109744,-1.0176841,1.0,1.0,48.0,32.0050488697231,0.0,42.70981153845787,-17.400000000000016,-6.0,-16.0,8.499999999999986,-7.704928356222808
0,5,-43.523739,142,1136,crashed,0.65140456,0.022322927,1.07232,0.23319674,-1.5983156,-0.8874135,1.0,0.0,-51.0,20.65877594188527,0.0,36.92921781539917,-7.800000000000001,0.0,-16.0,14.199999999999966,-40.5117325122701
0,7,116.619887,67,1320,crashed,0.120825864,-0.022143414,-0.3052458,-0.19152506,-0.2675096,1.4797709,1.0,0.0,87.0,49.07845926155673,0.0,37.83227387070656,-26.00000000000003,-24.0,-4.0,6.699999999999992,-9.990845660679042
