rollout_id,env_id,ep_rew_total,ep_len,timestep_global,terminal_status,x_pos,y_pos,x_vel,y_vel,angle,angular_vel,leg1_contact,leg2_contact,reward_shaping_delta,reward_main_engine_penalty,reward_side_engine_penalty
0,6,4.730705,65,520,crashed,-0.51778066,0.049017414,0.07542643,-0.066131204,1.4121184,-0.3743447,0.0,1.0,9.800704956054688,-3.899999999999999,-1.1700000000000008
0,7,-280.088546,92,736,out_of_bounds,-1.0144371,0.28700095,-1.7859482,-1.4979733,1.6299138,0.7932545,0.0,0.0,-272.31854248046875,-6.299999999999998,-1.470000000000001
0,0,65.213806,95,760,crashed,-0.1412342,-0.006685593,0.08945461,-0.3207165,0.5183774,-4.6385603,0.0,1.0,71.2738037109375,-4.499999999999999,-1.5600000000000012
0,5,-172.790825,98,784,crashed,-0.3758057,0.08530226,0.14342542,-0.15841147,2.8744586,-0.8348562,0.0,0.0,-165.44082641601562,-5.699999999999998,-1.6500000000000012
0,1,148.041455,100,800,landed_but_slid_into_valley,-0.062287234,-0.042810872,1.0499306e-08,-3.9598948e-08,0.00032238345,-4.684049e-08,0.0,1.0,156.83145141601562,-7.1999999999999975,-1.5900000000000012
0,2,92.211508,105,840,landed_centered,-0.10287323,-0.03872726,0.004653257,-0.7824843,0.03219436,-5.138001,1.0,1.0,99.95150756835938,-5.999999999999998,-1.7400000000000013
0,3,77.045494,116,928,crashed,-0.17805567,-0.022720875,-0.12018387,-0.7487372,0.22207056,-6.904255,0.0,1.0,85.7754898071289,-6.599999999999998,-2.130000000000001
0,4,76.491282,124,992,crashed,-0.89609593,-0.04196297,0.2899345,-0.102296,-0.48673457,-6.0094186e-07,1.0,1.0,87.20127868652344,-8.7,-2.0100000000000016
0,6,-50.217277,89,1232,crashed,-0.40554634,0.17004497,-0.047364574,0.029246828,1.6074085,0.19392623,0.0,0.0,-41.75727844238281,-7.1999999999999975,-1.260000000000001
0,0,86.618852,72,1336,landed_off_centered,-0.40601087,0.012363276,-0.16014789,-0.7199305,-0.18269546,-4.402006,1.0,1.0,94.77885437011719,-7.1999999999999975,-0.9600000000000006
0,5,187.398143,69,1336,landed_centered,0.144413,-0.042157162,-7.2541965e-08,-4.647757e-08,0.0028013254,3.272075e-07,1.0,1.0,194.2981414794922,-5.699999999999998,-1.2000000000000008
0,1,160.316916,85,1480,landed_centered,-0.05552826,-0.042789735,-2.5957913e-08,-2.1748058e-08,0.00045750843,1.17488284e-07,1.0,1.0,165.3869171142578,-3.899999999999999,-1.1700000000000008
0,7,-138.739282,101,1544,crashed,-0.79043114,0.15379272,-0.89479864,0.03563198,1.7445405,2.1263885,0.0,1.0,-130.75927734375,-6.599999999999998,-1.380000000000001
0,2,-67.80582,104,1672,crashed,-0.029172802,0.0044798707,0.5454902,0.17610233,-1.9624029,-1.821419,1.0,0.0,-59.79582214355469,-6.299999999999998,-1.7100000000000013
0,3,-291.278714,103,1752,crashed,0.74244577,-0.20704421,1.8419058,-0.32262725,-2.1464067,-0.8348193,1.0,0.0,-282.7587127685547,-6.899999999999998,-1.6200000000000012
0,4,-207.12583,102,1808,out_of_bounds,-1.0086747,0.2457985,-1.2882956,-1.6029118,1.1772608,0.17120104,0.0,0.0,-199.83583068847656,-5.699999999999998,-1.5900000000000012
0,6,105.988063,82,1888,landed_off_centered,0.3623806,-0.035673086,-0.0021946796,-0.44538105,-0.11773582,3.9640098,1.0,1.0,114.74806213378906,-7.499999999999997,-1.260000000000001
0,7,173.887902,64,2056,landed_but_slid_into_valley,-0.08864546,-0.042777933,-0.043366753,8.9977576e-08,0.00017493436,-3.987944e-07,0.0,1.0,178.98789978027344,-3.899999999999999,-1.2000000000000008
