rollout_id,env_id,ep_rew_total,ep_len,timestep_global,terminal_status,x_pos,y_pos,x_vel,y_vel,angle,angular_vel,leg1_contact,leg2_contact,reward_hover_high,reward_spin_angle,reward_spin_rate,reward_wander_position,reward_wander_velocity,reward_action_preference,reward_anti_landing,reward_survival
0,0,133.606837,55,440,landed_off_centered,0.32011986,-0.03411551,0.2832597,0.009061828,0.048273087,-1.4599908e-07,1.0,1.0,86.02715218067169,3.4866399886086583,3.086662287248913,13.652363490313292,15.654019206762314,6.200000000000004,0.0,5.4999999999999964
0,3,205.063135,88,704,crashed,-0.11650343,-0.030861415,-0.053314555,-0.8434315,0.14789483,-5.1340213,1.0,0.0,164.8962177512003,4.99980299314484,6.107762499130331,6.762093820376322,5.797257704660296,7.700000000000008,0.0,8.799999999999985
0,7,301.491111,98,784,crashed,-0.10256033,0.0058867787,0.53965473,0.15335265,-1.9907694,-1.7620262,1.0,0.0,184.27960269805044,50.751410341006704,19.765766423894092,18.670403853058815,12.523927945178002,5.7000000000000055,0.0,9.799999999999981
0,2,320.743328,105,840,crashed,-0.32650432,0.07674831,0.053283423,-0.011345303,0.60477,-0.15503526,0.0,1.0,220.03381949663162,37.84897445421666,7.793226724956185,18.7457158411853,16.42159115150571,9.400000000000002,0.0,10.499999999999979
0,4,380.545339,108,864,crashed,-0.3767104,0.14798398,-0.9228719,-0.2205576,1.6961551,-3.1757133,0.0,1.0,241.51733681559563,62.41381663293578,20.107068451412488,17.53411247790791,19.273004453629255,8.900000000000006,0.0,10.799999999999978
0,6,477.020122,110,880,out_of_bounds,-1.0065384,0.89238065,-1.3825971,-0.71333534,0.52134234,0.02346723,0.0,0.0,299.720734834671,26.871638748794794,5.421333367063198,76.02389555051923,50.18251931667328,7.800000000000011,0.0,10.999999999999977
0,1,347.761698,112,896,crashed,-0.010225868,-0.008983317,0.52541673,0.003457868,-1.7355982,1.3218166e-06,1.0,0.0,237.28010260406882,49.88101924397051,15.767434735218899,13.88674174901098,12.246399830561131,7.5000000000000115,0.0,11.199999999999976
0,0,259.823974,85,1120,landed_off_centered,0.71647435,-0.076767,0.30093127,-0.1326739,0.34109744,-1.0176841,1.0,1.0,142.21011554077268,15.409856712445617,7.8512848012614995,44.91701775789261,35.13569903373718,5.800000000000006,0.0,8.499999999999986
0,5,530.161248,142,1136,crashed,0.65140456,0.022322927,1.07232,0.23319674,-1.5983156,-0.8874135,1.0,0.0,345.2952169254422,81.0234650245402,14.042653825134039,32.51638205567724,35.68353054206818,7.400000000000011,0.0,14.199999999999966
0,7,153.478216,67,1320,crashed,0.120825864,-0.022143414,-0.3052458,-0.19152506,-0.2675096,1.4797709,1.0,0.0,92.01000077881326,19.981691321358085,12.66878728941083,7.704007585998625,9.613729365170002,4.800000000000004,0.0,6.699999999999992
0,3,333.619165,92,1440,crashed,0.7356968,-0.018547466,1.6353757,-0.8111721,-0.9100578,2.6341803,1.0,0.0,182.0942008343991,38.94452769961208,12.373402675613761,45.61116195097566,36.895871460437775,8.500000000000005,0.0,9.199999999999983
