time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
1,0.019844352,8192,48.68678,95.9971038,33.980127247058824,85,0,21373,92.82352941176471,,,,,,,,,,
2,0.019688704,16384,37.0200435,87.8711989,27.63768019,88,0,19391,94.04,0.0038433147,-1.3846604019403457,0.0009942656,0.2,10,1361.41796875,2883.0437194824217,-0.001745635730912909,-0.006518840789794922,0.00283203125
3,0.019533056,24576,49.6837845,104.9549945,36.956927379999996,86,1,19428,94.31,0.0060171355,-1.3773289352655411,0.0009885312,0.2,20,1280.5623779296875,2621.339630126953,-0.0016540332639124245,0.022575676441192627,0.00205078125
4,0.019377408,32768,51.562367,100.7439525,44.00560055999999,86,1,19414,94.07,0.0031544296,-1.3604348361492158,0.0009827968,0.2,30,1297.501220703125,2733.1650939941405,-0.001186414563562721,0.06133240461349487,0.0
5,0.01922176,40960,55.208107,113.58701560000003,40.97138417,85,2,19386,97.25,0.0032273512,-1.3542801320552826,0.0009770624,0.2,40,1374.70166015625,2803.6512451171875,-0.0013993590575410054,0.13021320104599,0.00068359375
6,0.019066112,49152,63.2477565,122.1826114,40.44777512,74,2,19352,106.27,0.0010745588,-1.3520166754722596,0.000971328,0.2,50,1204.833740234375,2461.8439208984373,-0.00048021761467680334,0.16691184043884277,0.0
7,0.018910464000000002,57344,50.56879,123.82658889999999,29.416655240000004,88,2,19311,104.77,0.0024167316,-1.3502008110284804,0.0009655936,0.2,60,1376.5634765625,2997.3639404296873,-0.001217803661711514,0.1634625792503357,3.662109375e-05
8,0.018754816,65536,59.231686,133.314551,54.433242250000006,85,3,19265,95.53,0.00083958614,-1.343457007408142,0.0009598592,0.2,70,1066.965087890625,2405.2341796875,-0.0005501088860910385,0.3052464723587036,0.0
9,0.018599168,73728,75.4117005,144.40153899999999,54.441121460000005,78,3,19192,100.93,0.005533575,-1.3399012625217437,0.0009541248,0.2,80,1501.175048828125,2866.2044311523437,-0.0022581536788493393,0.3187214136123657,0.00667724609375
10,0.01844352,81920,85.240002,129.65448340000003,70.45290100999999,87,4,19028,95.33,0.0021627247,-1.330993890762329,0.0009483904,0.2,90,1318.05810546875,2834.0562255859377,-0.0010601315123494714,0.31910282373428345,1.220703125e-05
11,0.018287872,90112,103.6985455,149.450987,84.29989979000001,82,4,18897,98.47,0.0024602185,-1.3114916622638702,0.000942656,0.2,100,1421.1839599609375,2827.3486328125,-0.0008676758559886366,0.3397337794303894,0.0
12,0.018132224000000002,98304,86.4022155,161.31271880000003,78.11715735000001,80,5,18799,101.9,0.005068852,-1.2885118842124939,0.0009369216,0.2,110,1562.124267578125,3219.1029846191404,-0.0018757324549369514,0.2772943377494812,0.000732421875
13,0.017976576,106496,103.90966750000001,171.9370572,76.77599390000002,80,5,18717,103.02,0.0032475241,-1.2690909206867218,0.0009311872000000001,0.2,120,1496.9942626953125,3031.612664794922,-0.0013419608178082854,0.2852141857147217,4.8828125e-05
14,0.017820928,114688,98.249072,188.794244,95.17452239,66,6,18658,107.72,0.00043781364,-1.2827674835920333,0.0009254528000000001,0.2,130,1712.19873046875,3478.5349548339846,-0.0003951649850932881,0.26013338565826416,0.0
